"Year","Month","DPM_t_C_ha","RPM_t_C_ha","Bio_t_C_ha","Hum_t_C_ha","IOM_t_C_ha","SOC_t_C_ha","CO2_t_C_ha","deltaC"
1,11712,0.849343647634738,10.284244300389,1.23009523075818,49.0991023100402,3.0041,64.4668854888221,0,-115.812911413458
2021,12,0.0857232953416162,8.85967097248147,1.155664073571,48.9433587782217,3.0041,62.0485171196158,4.49836836920634,-119.409983150005
2022,12,0.0534083917389553,7.91452125436094,1.05973952356306,48.7145471032854,3.0041,60.7463162729484,8.04056921587374,-121.119409819326
2023,12,0.849755362185568,8.8656535727593,1.09539666500603,48.6735733569566,3.0041,62.4884789569075,12.5024065319145,-117.812498421101
2024,12,0.085723424015166,7.74613587829456,1.04826915000713,48.4830127390126,3.0041,60.3672411913295,16.7036442974926,-121.030932558284
2025,12,0.0534083918122231,7.0245691525276,0.972846697850222,48.2301792030683,3.0041,59.2851034452583,20.0257820435637,-122.389099915363
2026,12,0.849755362185609,8.15439198101225,1.02513410888395,48.1714914714995,3.0041,61.2048729235813,24.3100125652408,-118.64156781659
2027,12,0.085723424015166,7.18782492353388,0.99236263503601,47.9674217802935,3.0041,59.2374327628785,28.3574527259436,-121.665763010345
2028,12,0.0534083918122231,6.57835958961422,0.927625899030024,47.7061981890691,3.0041,58.2696920695256,31.5651934192965,-122.841744503772
2029,12,0.849755362185609,7.79777534589591,0.98851616283229,47.6422529644115,3.0041,60.2823998353253,35.7564856534968,-118.853473615743
2030,12,0.085723424015166,6.90789560309033,0.963126110371908,47.4352846451518,3.0041,58.3961297826292,39.7227557061929,-121.785857284463
2031,12,0.0534083918122231,6.35463634245834,0.90385957427044,47.1733996145457,3.0041,57.4894039230867,42.8694815657354,-122.871542789058
2032,12,0.849755362185609,7.61897274230061,0.969139465972934,47.1103219172277,3.0041,59.5522894876868,47.0105960011353,-118.749841472923
2033,12,0.085723424015166,6.76754294875709,0.947505483620838,46.9056372642218,3.0041,57.7105091206149,50.9323763682073,-121.644218207255
2034,12,0.0534083918122231,6.24246462881068,0.891019203578503,46.6468347379764,3.0041,56.8378269621778,54.0450585266443,-122.687602424158
2035,12,0.849755362185609,7.52932361238264,0.958528074307572,46.5875629069755,3.0041,58.9292699558513,58.1576155329708,-118.488682360415
2036,12,0.085723424015166,6.69717208675816,0.938799526063389,46.3876165271493,3.0041,57.1134115639861,62.053473924836,-121.372474890898
2037,12,0.0534083918122231,6.18622329715378,0.883725412268851,46.1336410596211,3.0041,56.2610981608559,65.1457873279662,-122.398093493613
2038,12,0.849755362185609,7.48437478986303,0.952367359931179,46.0795166184651,3.0041,58.3701141304449,69.2407713583772,-118.151189051006
2039,12,0.085723424015166,6.66188911870888,0.933607675603692,45.8853982458993,3.0041,56.570718464227,73.120167024595,-121.038058819696
2040,12,0.0534083918122231,6.15802467841396,0.879254521798717,45.6369954610487,3.0041,55.7317830530736,76.1991024357484,-122.058284626105
2041,12,0.849755362185609,7.46183807759657,0.948476550584329,45.5885634246939,3.0041,57.8527334150604,80.2821520737616,-117.778692815175
2042,12,0.085723424015166,6.64419873096877,0.930213630054958,45.4006832917362,3.0041,56.0649190767751,84.1499664120469,-120.6752640155
2043,12,0.0534083918122231,6.14388628454228,0.876233210082217,45.1581026306644,3.0041,55.2357305171012,87.2191549717208,-121.696259092736
2044,12,0.849755362185609,7.45053848460813,0.9457568427703,45.1155134201994,3.0041,57.3656641097635,91.2932213790584,-117.392150111501
2045,12,0.085723424015166,6.63532901745832,0.927753043840989,44.9339462567813,3.0041,55.5868517420957,95.1520337467262,-120.301486179192
2046,12,0.0534083918122231,6.13679749118274,0.873970024129311,44.6971931867017,3.0041,54.765469093826,98.2134163949959,-121.326266043599
2047,12,0.849755362185609,7.44487302639068,0.943655023168275,44.6604041623559,3.0041,56.9027875741005,102.280097914721,-117.002179989113
2048,12,0.085723424015166,6.63088186689762,0.925790670357207,44.4850616081889,3.0041,55.1315575694589,106.131327919363,-119.925554535115
2049,12,0.0534083918122231,6.13324326912964,0.872116651145853,44.2540239685925,3.0041,54.3168922806802,109.185993208142,-120.955547400771
